enemy,player_life,enemy_life
1,0.0,90.0
2,42.0,0.0
3,0.0,70.0
4,0.0,40.0
5,47.2000000000003,0.0
6,18.400000000000233,0.0
7,22.600000000000243,0.0
8,28.600000000000257,0.0
